Time,Rome WTA,S,1,2,3,4,5,H2H,H,A,header
14. 05. 2025 11:00,Gauff C. (4),,,,,,,3,1.72,2.09
14. 05. 2025 -,Andreeva M. (7),,,,,,,0,,
Time,Paris WTA,S,1,2,3,4,5,H2H,H,A,header
14. 05. 2025 10:00,Belgraver J.,,,,,,,0,3.59,1.17
14. 05. 2025 -,Sierra S.,,,,,,,0,,
Time,UTR Pro Tennis Series 5,S,1,2,3,4,5,H2H,H,A,header
14. 05. 2025 10:00,Ionescu I.,,,,,,,0,,
14. 05. 2025 -,Czapulak E.,,,,,,,0,,
14. 05. 2025 10:00,Costa Araujo T.,,,,,,,0,,
14. 05. 2025 -,Czapulak E.,,,,,,,0,,
14. 05. 2025 10:00,Spink I.,,,,,,,0,,
14. 05. 2025 -,Czapulak E.,,,,,,,0,,
14. 05. 2025 10:00,Ionescu I.,,,,,,,0,,
14. 05. 2025 -,Costa Araujo T.,,,,,,,0,,
14. 05. 2025 10:00,Mihaljevic T.,,,,,,,0,,
14. 05. 2025 -,Bandurowska X.,,,,,,,0,,
14. 05. 2025 10:00,Arsic A.,,,,,,,1,,
14. 05. 2025 -,Gvozdenovic S.,,,,,,,0,,
14. 05. 2025 10:00,Markovic A.,,,,,,,0,,
14. 05. 2025 -,Iamachkine A.,,,,,,,0,,
14. 05. 2025 10:00,Markovic A.,,,,,,,0,,
14. 05. 2025 -,Mihaljevic T.,,,,,,,0,,
14. 05. 2025 10:00,Mihaljevic T.,,,,,,,0,,
14. 05. 2025 -,Iamachkine A.,,,,,,,1,,
14. 05. 2025 10:00,Spink I.,,,,,,,1,,
14. 05. 2025 -,Borkop S.,,,,,,,0,,
14. 05. 2025 10:00,Milicevic K.,,,,,,,0,,
14. 05. 2025 -,Szymczuch O.,,,,,,,0,,
14. 05. 2025 10:00,Szymczuch O.,,,,,,,0,,
14. 05. 2025 -,Gvozdenovic S.,,,,,,,0,,
14. 05. 2025 10:00,Jurna E.,,,,,,,0,,
14. 05. 2025 -,Yersh K.,,,,,,,2,,
14. 05. 2025 10:00,Yersh K.,,,,,,,0,,
14. 05. 2025 -,Wysoczanska K.,,,,,,,0,,
14. 05. 2025 10:00,Costa Araujo T.,,,,,,,0,,
14. 05. 2025 -,Borkop S.,,,,,,,0,,
14. 05. 2025 10:00,Zuchanska A.,,,,,,,0,,
14. 05. 2025 -,Iamachkine A.,,,,,,,0,,
14. 05. 2025 10:00,Zuchanska A.,,,,,,,1,,
14. 05. 2025 -,Bandurowska X.,,,,,,,0,,
Time,UTR Pro Tennis Series,S,1,2,3,4,5,H2H,H,A,header
14. 05. 2025 02:00,Mcphee K.,,,,,,,1,,
14. 05. 2025 -,Shah M.,,,,,,,0,,
14. 05. 2025 02:00,Compuesto B.,,,,,,,0,,
14. 05. 2025 -,Richter E.,,,,,,,0,,
14. 05. 2025 02:00,Carbis J.,,,,,,,0,,
14. 05. 2025 -,Rokusek S.,,,,,,,1,,
14. 05. 2025 02:00,Arnautovic L.,,,,,,,1,,
14. 05. 2025 -,Zylberman A.,,,,,,,0,,
14. 05. 2025 02:00,Shah M.,,,,,,,0,,
14. 05. 2025 -,Korhonen C.,,,,,,,0,,
14. 05. 2025 02:00,Thompson B.,,,,,,,0,,
14. 05. 2025 -,Richter E.,,,,,,,0,,
